City,City Code,Country,Region,Continent,Development,Latitude,Longitude,City 2,Country 2,Population,Prices excl. rent (index),Prices incl. rent (index),Gross wages (index),Net wages (index),Working hours per year,Vacation per year,Gross domestic purchasing power,Net domestic purchasing power,Working time required to buy 1 hamburger,Working time required to buy 1 kg of bread,Working time required to buy 1 kg of rice,Total expenditure on goods and services (USD),Total expenditure on goods and services (index),Food prices (USD),Food prices (index),Prices of women's expensive clothing,Prices of women's medium clothing,Prices of women's cheap clothing,Prices of men's expensive clothing,Prices of men's medium clothing,Prices of men's cheap clothing,Furnished expensive 4-room apartment,Furnished medium 4-room apartment,Furnished cheap 4-room apartment,Unfurnished expensive 3-room apartment,Unfurnished medium 3-room apartment,Unfurnished cheap 3-room apartment,Normal local rent medium,Price of household appliances (USD),Price of household appliances (index),Bus or tram or underground,Taxi ,Medium-sized cars type,Medium-sized cars price,Medium-sized cars tax,Medium-sized cars service,Restaurant,Hotel,Price of a short break (USD),Price of a short break (index),Prices of services (USD),Prices of services (index),Gross hourly wages,Net hourly wages,Taxes and social security contributions,Primary school teachers gross income (USD),Primary school teachers gross income (index),Primary school teachers taxes and social security contribtions,Primary school teachers net income (USD),Primary school teachers weekly working hours,Primary school teachers paid working days vacation per year,Bus drivers gross income (USD),Bus drivers gross income (index),Bus drivers taxes and social security contribtions,Bus drivers net income (USD),Bus drivers weekly working hours,Bus drivers paid working days vacation per year,Automobile mechanics gross income (USD),Automobile mechanics gross income (index),Automobile mechanics taxes and social security contribtions,Automobile mechanics net income (USD),Automobile mechanics weekly working hours,Automobile mechanics paid working days vacation per year,Building labourers gross income (USD),Building labourers gross income (index),Building labourers taxes and social security contribtions,Building labourers net income (USD),Building labourers weekly working hours,Building labourers paid working days vacation per year,Skilled industrial workers gross income (USD),Skilled industrial workers gross income (index),Skilled industrial workers taxes and social security contribtions,Skilled industrial workers net income (USD),Skilled industrial workers weekly working hours,Skilled industrial workers paid working days vacation per year,Cooks gross income (USD),Cooks gross income (index),Cooks taxes and social security contribtions,Cooks net income (USD),Cooks weekly working hours,Cooks paid working days vacation per year,Department managers gross income (USD),Department managers gross income (index),Department managers taxes and social security contribtions,Department managers net income (USD),Department managers weekly working hours,Department managers paid working days vacation per year,Engineers gross income (USD),Engineers gross income (index),Engineers taxes and social security contribtions,Engineers net income (USD),Engineers weekly working hours,Engineers paid working days vacation per year,Bank credit clerks gross income (USD),Bank credit clerks gross income (index),Bank credit clerks taxes and social security contribtions,Bank credit clerks net income (USD),Bank credit clerks weekly working hours,Bank credit clerks paid working days vacation per year,Secretaries gross income (USD),Secretaries gross income (index),Secretaries taxes and social security contribtions,Secretaries net income (USD),Secretaries weekly working hours,Secretaries paid working days vacation per year,Saleswomen gross income (USD),Saleswomen gross income (index),Saleswomen taxes and social security contribtions,Saleswomen net income (USD),Saleswomen weekly working hours,Saleswomen paid working days vacation per year,Female industrial workers gross income (USD),Female industrial workers gross income (index),Female industrial workers taxes and social security contribtions,Female industrial workers net income (USD),Female industrial workers weekly working hours,Female industrial workers paid working days vacation per year,National currency,Exchange rate CHF/NC ,Exchange rate USD/NC ,Currency
Dublin,DUB,Ireland,Europe,Western Europe,Industrialized,"53,333",-6.25,Dublin,Ireland,921000,72.6,74.7,58.1,60.6,1798.0,24-Aug,80.0,83.5,16,8,18,1195,72.6,314,64.7,490,320,190,770,530,330,1490,1220,1050,1020,870,780,630,1510,78.4,01-May,Jul-17,Ford Mondeo 1.8 i,22400,365,96,37,250,460,76.5,280,75.2,08-Sep,11-Jun,23-Feb,28400,46.7,21,22400,35,84,21700,42.7,20,17300,39,20,19600,58.1,24,14900,39,21,17800,63.1,23,13700,39,20,23400,50.8,20,18800,39,23,22900,63.4,27,16700,40,25,44900,45.2,31,31000,39,28,37400,57.6,28,26900,39,28,26400,38.3,21,20900,39,25,21100,53.9,26,15600,39,21,18600,64.9,24,14100,39,21,13900,55.7,22,10800,39,20,1 IEP,"198,443","119,438",IEP
Frankfurt,FRA,Germany,Europe,Western Europe,Industrialized,"50,117","8,683",Frankfurt am Main,Germany,598000,76.2,78.4,72.0,61.7,1688.0,31.0,94.5,80.9,16,9,18,1255,76.2,330,67.9,510,300,190,820,560,320,1740,1430,1230,1060,820,760,660,1670,86.9,02-Apr,Sep-14,VW Golf,16300,127,144,31,240,480,79.4,300,78.7,09-Jan,14-Apr,36.2,36600,60.2,41,21600,39,57,22800,44.9,33,15300,38,27,22500,66.6,37,14200,38,27,20900,73.9,36,13400,39,27,25900,56.2,35,16900,35,30,27900,77.1,40,16700,40,30,58500,58.9,48,30400,40,30,51700,79.8,47,27400,39,30,44300,64.1,45,24400,39,30,26600,68.0,39,16200,39,32,19800,69.5,34,13100,38,32,18500,74.3,32,12600,36,30,1 DEM,0.79893,0.48085,DEM
Geneva,GVA,Switzerland,Europe,Western Europe,Industrialized,46.2,"6,167",Geneva,Switzerland,460000,94.4,92.9,97.1,90.2,1842.0,24-Apr,102.8,95.5,16,9,11,1554,94.4,456,94.0,590,310,200,910,660,330,1960,1290,960,1020,780,600,660,2050,106.3,Jan-32,Nov-92,Opel Astra 1.8i,16600,169,114,31,300,550,91.3,370,97.9,13-Mar,19-Apr,31.6,59400,97.7,32,40600,39,54,40900,80.6,31,28400,40,25,34700,102.8,32,23600,40,20,28900,102.2,32,19700,41,25,44500,96.6,31,30900,40,25,35500,98.3,32,24100,42,25,71000,71.5,32,48100,40,25,50100,77.3,31,34600,40,20,61100,88.4,32,41700,40,23,38700,98.9,32,26300,40,23,25400,88.9,32,17400,40,20,25900,104.0,32,17700,40,23,1 CHF,1.0,0.60187,CHF
Helsinki,HEL,Finland,Europe,Western Europe,Industrialized,"60,167","24,967",Helsinki,Finland,938000,83.4,82.1,54.6,51.6,1723.0,27-Jun,65.5,61.8,25,28,26,1373,83.4,348,71.7,700,410,250,1040,650,390,1240,1060,850,850,660,580,570,1900,98.5,Jan-42,Aug-33,Opel Astra 1.6 XEL,20300,79,136,28,210,420,68.7,360,94.2,07-Jun,10-Sep,29-Jul,24300,40.0,33,16300,36,45,19800,39.1,31,13700,39,27,16200,48.0,28,11700,39,27,17400,61.4,29,12300,40,27,24500,53.0,33,16400,38,27,20200,55.8,32,13700,38,27,48100,48.5,43,27400,38,27,36600,56.4,40,21900,38,27,21000,30-Apr,32,14300,38,27,18400,46.9,31,12700,37,27,14800,51.9,27,10800,37,27,15200,61.0,27,11100,39,27,1 FIM,0.26285,0.1582,FIM
Hong Kong,HKG,Hong Kong,Asia,East Asia,Industrialized,"22,283",114.15,Hong Kong,Hong Kong,5656000,88.6,110.5,46.0,57.5,2181.0,13-Aug,51.9,64.9,9,15,7,1458,88.6,390,80.3,640,340,170,1070,530,270,8410,5820,3100,3230,2330,1030,1140,1860,96.3,Jan-49,Apr-62,Honda Accord 2.0,29700,776,220,45,270,540,89.6,290,76.5,08-May,09-Feb,06-Sep,29400,48.4,12,25900,43,60,19800,39.1,7,18500,51,12,20500,60.9,7,19100,49,9,18800,66.4,7,17500,49,6,23300,50.6,10,21000,44,12,21600,59.8,9,19700,44,15,50600,51.0,15,43000,43,16,43800,67.6,14,37700,43,13,19800,28-Jun,718,400,44,15,19700,50.3,718,300,44,13,14900,52.2,6,14000,49,15,13700,55.2,213,500,47,9,1 HKD,0.21484,0.12931,HKD
Houston,HOU,United States,Americas,North Am.,Industrialized,"29,757",-95.36,Houston,United States,2298000,86.7,88.1,85.5,88.9,1905.0,12-Jan,98.7,102.5,13,15,8,1427,86.7,382,78.6,840,440,270,1280,900,580,1800,1340,1250,950,900,850,650,1600,83.0,Jan-25,Jun-75,Ford Focus LX,13800,63,90,37,220,470,78.6,340,89.6,13-Jan,17-Jan,22-Sep,39900,65.6,25,29900,38,52,31200,61.5,23,24000,40,10,37700,111.9,24,28700,45,10,29000,102.7,22,22700,40,10,42500,92.2,27,31100,40,10,38000,105.2,24,28900,35,10,59500,59.9,30,41600,40,15,52900,81.6,29,37600,40,10,33800,49.0,23,26000,38,10,33100,84.4,23,25500,38,10,22500,78.8,20,18000,37,10,25200,101.2,21,19900,40,10,1 USD,"166,148",1.0,USD
Istanbul,IST,Turkey,Europe,Western Europe,Developing,"41,017","28,967",Istanbul,Turkey,6461000,63.9,68.4,18-Apr,18-Aug,2074.0,15-Mar,28-Aug,29-May,52,13,31,1053,63.9,268,55.1,370,260,170,540,400,370,3510,2500,1600,1310,1070,740,540,1930,100.0,0.49,Apr-92,Fiat Marea 2.0,15700,302,25,26,330,500,83.4,220,58.0,02-Aug,03-Jul,22-May,5500,9.0,21,4300,40,30,9200,18-Feb,23,7100,48,40,4000,12.0,20,3200,40,13,3100,11-Jan,20,2500,40,13,13500,29-Mar,26,10000,40,13,19100,52.8,30,13400,48,21,34100,34.4,37,21500,40,13,23900,36.9,32,16200,40,13,16100,23-Apr,27,11800,40,13,6700,17.0,22,5200,40,13,4800,16-Aug,21,3800,48,13,6300,25-Apr,22,4900,42,13,100 TRL,2.7E-4,1.6E-4,TRL
Jakarta,JKT,Indonesia,Asia,East Asia,Developing,"-6,267",106.8,Jakarta,Indonesia,9588000,52.2,71.3,04-Jan,04-Sep,2065.0,11.0,07-Sep,09-Apr,146,85,28,859,52.2,236,48.5,400,180,100,550,280,160,5630,4800,2180,2270,2010,1200,780,1320,68.7,0.3,01-Feb,Mitsubishi Lancer XEi,24000,72,60,17,110,240,40.1,160,42.3,0.7,0.8,10-Sep,900,01-Apr,2,800,28,40,1000,01-Sep,2,900,56,10,1600,04-Jul,12,1400,44,10,600,02-Jan,10,500,43,0,2200,04-Aug,12,2000,40,10,4500,12-Mar,17,3700,48,10,12000,12-Jan,28,8600,40,13,3800,05-Sep,16,3200,40,13,2700,03-Sep,12,2400,40,13,2900,07-May,12,2600,42,13,1100,4.0,12,1000,43,13,500,2.0,10,400,45,10,1 IDR,2.0E-4,1.2E-4,IDR
Johannesburg,JNB,South Africa,Africa,Southern Africa,Developing,"-26,183",28-May,Johannesburg,South Africa,1609000,50.9,53.7,28-Feb,28-Apr,1929.0,18-Sep,55.3,55.8,19,11,9,838,50.9,208,42.9,300,190,110,720,390,220,1300,970,730,750,570,380,510,1480,76.9,0.77,Apr-35,Toyota Carola 1.6,15200,15,53,18,250,390,63.7,220,57.6,04-Feb,05-Jun,19-Sep,14000,23-Jan,26,10400,30,48,8500,16-Jul,19,6900,44,15,13200,39.2,29,9400,43,15,4200,15.0,3,4100,41,18,20400,44.2,35,13300,41,20,13200,36.6,29,9400,49,15,33300,33.5,41,19600,43,20,30300,46.7,39,18500,43,25,9700,14-Jan,20,7800,40,25,11900,30-Apr,27,8700,40,16,7700,26-Aug,18,6300,43,16,5000,20-Mar,6,4700,43,18,1 ZAR,0.24275,0.14611,ZAR
Kuala Lumpur,KUL,Malaysia,Asia,East Asia,Developing,"3,167",101.7,Kula Lumpur,Malaysia,1475000,59.6,61.2,22-Mar,22-Jun,2217.0,18-Mar,37.4,37.8,22,20,25,982,59.6,254,52.3,590,250,120,550,330,160,2050,1090,930,1260,660,250,420,1710,89.0,0.37,Jan-64,Proton Perdana,23900,239,80,24,180,340,56.6,270,70.6,03-Mar,04-Apr,19-Apr,4900,8.0,14,4200,85,81,8700,17-Feb,21,6900,56,24,8700,25-Sep,22,6800,44,14,4700,16-Jun,15,4000,50,10,18200,39.4,30,12700,48,21,14300,39.6,28,10300,63,0,31800,32.0,38,19700,40,21,32600,50.3,38,20200,40,21,10100,14-Jun,23,7700,44,17,9100,23-Feb,23,7000,40,21,3000,10-Jun,13,2600,48,NaN,2900,11-Aug,13,2500,50,10,1 MYR,0.44053,0.26515,MYR
